=== SOAK START 2026-06-26 12:22:34 ===
[14:22:47] eranda-collector CPU=195.76% MEM=618MiB / 3.819GiB eranda-redis CPU=2.47% MEM=24.78MiB / 3.819GiB  || CONSUMER-0 q=50 keys=39 CONSUMER-1 q=20 keys=39  || reconnect_olayı(son200satır)=0
[14:24:49] eranda-collector CPU=116.46% MEM=615.9MiB / 3.819GiB eranda-redis CPU=2.00% MEM=25.62MiB / 3.819GiB  || CONSUMER-1 q=27 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:26:51] eranda-collector CPU=213.44% MEM=613.8MiB / 3.819GiB eranda-redis CPU=1.83% MEM=25.61MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=25 keys=39  || reconnect_olayı(son200satır)=0
[14:28:54] eranda-collector CPU=111.93% MEM=609.7MiB / 3.819GiB eranda-redis CPU=2.26% MEM=24.61MiB / 3.819GiB  || CONSUMER-1 q=42 keys=39 CONSUMER-0 q=19 keys=39  || reconnect_olayı(son200satır)=0
[14:30:56] eranda-collector CPU=155.46% MEM=609.5MiB / 3.819GiB eranda-redis CPU=2.32% MEM=25.43MiB / 3.819GiB  || CONSUMER-1 q=38 keys=39 CONSUMER-0 q=16 keys=39  || reconnect_olayı(son200satır)=0
[14:32:57] eranda-collector CPU=142.62% MEM=609.7MiB / 3.819GiB eranda-redis CPU=2.35% MEM=24.03MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=1 keys=39  || reconnect_olayı(son200satır)=0
[14:34:59] eranda-collector CPU=88.39% MEM=606.7MiB / 3.819GiB eranda-redis CPU=5.03% MEM=24.91MiB / 3.819GiB  || CONSUMER-0 q=14 keys=39 CONSUMER-1 q=2 keys=39  || reconnect_olayı(son200satır)=0
[14:37:01] eranda-collector CPU=131.35% MEM=605.6MiB / 3.819GiB eranda-redis CPU=5.50% MEM=25.38MiB / 3.819GiB  || CONSUMER-1 q=12 keys=39 CONSUMER-0 q=10 keys=39  || reconnect_olayı(son200satır)=0
[14:39:04] eranda-collector CPU=134.06% MEM=604.8MiB / 3.819GiB eranda-redis CPU=2.65% MEM=24.99MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:41:06] eranda-collector CPU=166.29% MEM=602.5MiB / 3.819GiB eranda-redis CPU=2.08% MEM=25.41MiB / 3.819GiB  || CONSUMER-1 q=54 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:43:07] eranda-collector CPU=180.93% MEM=603.1MiB / 3.819GiB eranda-redis CPU=2.05% MEM=24.85MiB / 3.819GiB  || CONSUMER-1 q=36 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:45:09] eranda-collector CPU=202.74% MEM=601.8MiB / 3.819GiB eranda-redis CPU=10.45% MEM=35MiB / 3.819GiB  || CONSUMER-0 q=27 keys=39 CONSUMER-1 q=31 keys=39  || reconnect_olayı(son200satır)=0
[14:47:12] eranda-collector CPU=107.92% MEM=602MiB / 3.819GiB eranda-redis CPU=2.03% MEM=25.16MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=16 keys=39  || reconnect_olayı(son200satır)=0
[14:49:14] eranda-collector CPU=186.59% MEM=601.9MiB / 3.819GiB eranda-redis CPU=1.86% MEM=26.44MiB / 3.819GiB  || CONSUMER-1 q=1 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:51:17] eranda-collector CPU=196.95% MEM=602.2MiB / 3.819GiB eranda-redis CPU=2.00% MEM=25.35MiB / 3.819GiB  || CONSUMER-1 q=2 keys=39 CONSUMER-0 q=53 keys=39  || reconnect_olayı(son200satır)=0
[14:53:19] eranda-collector CPU=120.51% MEM=601.1MiB / 3.819GiB eranda-redis CPU=2.30% MEM=25MiB / 3.819GiB  || CONSUMER-0 q=1 keys=39 CONSUMER-1 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:55:21] eranda-collector CPU=192.30% MEM=600.9MiB / 3.819GiB eranda-redis CPU=2.61% MEM=26.37MiB / 3.819GiB  || CONSUMER-1 q=2 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:57:24] eranda-collector CPU=60.37% MEM=600.9MiB / 3.819GiB eranda-redis CPU=2.12% MEM=23.9MiB / 3.819GiB  || CONSUMER-1 q=15 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[14:59:26] eranda-collector CPU=126.11% MEM=601.5MiB / 3.819GiB eranda-redis CPU=2.45% MEM=25.95MiB / 3.819GiB  || CONSUMER-1 q=15 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
